City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,solothurn,47.2079,7.5371,16.58,96,100,9.77,CH,1699916179
124,colonia,50.9333,6.95,12.25,75,0,5.66,DE,1699916060
125,iqaluit,63.7506,-68.5145,-19.06,70,20,3.09,CA,1699916126
126,soledade,-28.8183,-52.5103,17.37,98,100,3.14,BR,1699916181
127,stanley,54.868,-1.6985,8.77,87,20,10.29,GB,1699916159
128,nazca,-14.8333,-74.95,23.21,62,4,3.31,PE,1699916183
129,yanam,16.7333,82.2167,25.03,73,58,3.39,IN,1699916096
130,ciudad lazaro cardenas,17.9583,-102.2,29.35,74,38,3.45,MX,1699916110
131,namibe,-15.1961,12.1522,24.11,61,100,1.14,AO,1699916003
132,mount isa,-20.7333,139.5,31.87,23,4,0.51,AU,1699916187
133,zhob,31.3411,69.4481,12.05,45,0,1.51,PK,1699916187
134,port augusta,-32.5,137.7667,21.64,50,55,7.05,AU,1699916085
135,kavaratti,10.5669,72.642,27.36,72,96,1.64,IN,1699916189
136,cabedelo,-6.9811,-34.8339,26.37,77,83,4.47,BR,1699916190
137,coronel suarez,-37.4547,-61.9334,15.51,34,81,4.77,AR,1699916191
138,kodiak,57.79,-152.4072,6.73,49,20,8.23,US,1699916192
139,ribeira grande,38.5167,-28.7,15.43,91,100,2.24,PT,1699915944
140,codrington,-38.2667,141.9667,14.62,64,100,2.83,AU,1699915996
141,wailua homesteads,22.0669,-159.378,29.24,70,75,7.2,US,1699916135
142,flin flon,54.7682,-101.865,-0.09,86,100,1.54,CA,1699916196
143,zambezi,-13.5432,23.1047,21.11,75,91,2.08,ZM,1699916197
144,hermanus,-34.4187,19.2345,15.8,79,4,8.94,ZA,1699916060
145,anadyr,64.75,177.4833,-11.72,78,38,12,RU,1699915959
146,afaahiti,-17.75,-149.2833,27.93,84,100,4.57,PF,1699915970
147,yaiza,28.9633,-13.7631,22.87,35,0,4.12,ES,1699916200
148,margaret river,-33.95,115.0667,15.5,86,99,5.3,AU,1699915985
149,marsa alam,25.0757,34.8918,26.04,75,29,1.26,EG,1699916202
150,kill devil hills,36.0307,-75.676,11.66,72,0,0,US,1699916203
151,tiksi,71.6872,128.8694,-13.64,90,100,3.51,RU,1699915969
152,kavieng,-2.5744,150.7967,28.3,69,100,2.07,PG,1699916121
153,saint-amable,45.6527,-73.2956,0.51,82,100,2.57,CA,1699916206
154,ad darb,17.7229,42.2526,28.38,74,8,0.73,SA,1699916207
155,san patricio,28.017,-97.5169,18.24,91,100,5.49,US,1699916034
156,kingston,17.997,-76.7936,31.53,73,20,10.29,JM,1699915852
157,bannu,32.9854,70.6027,18.33,49,0,0.97,PK,1699916209
158,al qadarif,14.0349,35.3834,28.05,39,7,3.84,SD,1699916210
159,klyuchi,52.2667,79.1667,4.01,89,100,4.98,RU,1699915991
160,nizhnesortymskiy,62.4397,71.7603,-11.88,92,100,3.15,RU,1699916211
161,haiku-pauwela,20.9219,-156.3051,28.43,55,0,10.29,US,1699916212
162,kalamassery,10.06,76.3213,25.93,94,40,1.03,IN,1699916213
163,st. john's,47.5649,-52.7093,0.54,80,100,2.57,CA,1699916086
164,tabuk,17.4189,121.4443,22.85,94,100,2.67,PH,1699916215
165,usogorsk,63.4106,48.6872,-0.74,94,100,3.7,RU,1699916191
166,hami,42.8,93.45,3.11,28,99,5.8,CN,1699916216
167,yaren,-0.5472,166.916,27.37,82,100,11.39,NR,1699916217
168,panaba,21.2833,-88.2667,26.26,84,66,4.04,MX,1699916218
169,gadzhiyevo,69.2551,33.3362,-8.7,96,99,0.95,RU,1699916219
170,puerto leguizamo,-0.1934,-74.7819,27.8,72,100,0.24,CO,1699916150
171,okhotsk,59.3833,143.3,-16.96,80,98,6.55,RU,1699916221
172,umred,20.85,79.3333,19.16,58,81,2.76,IN,1699916222
173,broome,42.2506,-75.833,5.81,76,85,2.24,US,1699916102
